StoreNumber,Country,Longitude,Latitude
500,USA,-80.3103,40.6804
501,USA,-95.56372747,29.98044982
502,USA,-81.6038,30.1684
503,USA,-81.54957358,30.33245085
504,USA,-80.846849,28.555033
505,USA,-96.69803308,33.05370489
506,USA,-83.44650764,33.91745504
507,USA,-84.45043314,38.00964985
508,USA,-79.483348,36.079397
509,USA,-78.844501,38.436763
510,USA,-96.62141791,32.82587601
511,USA,-95.6318446,29.59333248
512,USA,-84.27669,33.54942
513,USA,-96.855308,32.64315036
514,USA,-97.31586361,32.56183476
515,USA,-96.81707881,32.91193256
516,USA,-77.406821,39.388185
517,USA,-78.470826,38.088433
518,USA,-82.197883,34.202416
519,USA,-94.73260917,32.54390843
520,USA,-97.12197272,32.6806352
521,USA,-95.76883464,39.03783219
522,USA,-76.82171084,40.28015458
523,USA,-75.22464264,43.12625099
524,USA,-73.9826968,41.97250949
525,USA,-97.41166582,32.68739493
526,USA,-82.6274,35.5672
527,USA,-82.62958624,39.73784121
528,USA,-82.2501,34.7113
529,USA,-88.70536362,34.30274323
530,USA,-76.87495812,42.15568433
531,USA,-84.602579,33.853684
532,USA,-86.81771835,35.94434032
533,USA,-97.18475223,32.85894342
534,USA,-84.60525599,39.26019656
535,USA,-97.556043,35.606793
537,USA,-89.374471,31.320413
538,USA,-79.41977,35.163395
539,USA,-79.8317,32.8304
540,USA,-74.37322582,41.45855453
541,USA,-73.9221914,41.62099951
542,USA,-84.31256194,39.30183101
543,USA,-84.53946197,34.08147299
545,USA,-84.62787852,33.94876531
546,USA,-83.689318,32.813263
547,USA,-77.8212,35.9649
548,USA,-85.04066575,35.98000381
549,USA,-88.22401735,30.68639976
550,USA,-96.9027452,32.9859586
551,USA,-97.01529629,33.05756279
552,USA,-93.77323767,41.59742662
553,USA,-76.1893184,40.70925607
554,USA,-84.62436724,39.02006382
555,USA,-95.64269969,29.87790914
556,USA,-77.40154482,34.78325364
557,USA,-77.9292,35.3816
558,USA,-84.6236943,37.06625905
559,USA,-80.889897,33.528112
560,USA,-73.74604172,43.10538984
561,USA,-76.54625126,42.95656011
562,USA,-83.9629037,43.48259385
563,USA,-95.43509137,30.05974378
564,USA,-82.5449,28.027
566,USA,-77.088938,35.102216
567,USA,-79.897969,39.650216
568,USA,-76.9722,39.5646
569,USA,-81.7993,28.8262
573,USA,-82.3199,27.9219
575,USA,-84.25120527,43.65765432
576,USA,-78.897455,36.041372
577,USA,-87.680924,30.366677
578,USA,-85.4946622,36.13911911
579,USA,-83.33237948,36.20350315
580,USA,-86.83095216,33.44544634
581,USA,-93.6116943,41.99891294
582,USA,-81.87320458,26.52637196
586,USA,-92.45501649,31.27448508
587,USA,-75.54798861,39.19214743
588,USA,-82.040038,37.879416
589,USA,-93.17592287,30.19194585
590,USA,-97.792649,30.467679
591,USA,-90.16880349,38.91729368
592,USA,-81.9408,26.6686
593,USA,-72.88083238,41.32192192
594,USA,-86.64957544,33.59737897
595,USA,-80.865558,35.593835
596,USA,-90.74837116,29.61076772
597,USA,-93.0568028,34.46035288
598,USA,-77.40885864,35.56331091
599,USA,-77.4115,37.3477
603,USA,-78.6747418,33.82909006
604,USA,-81.42159361,28.66286844
605,USA,-81.48004507,41.16758605
606,USA,-85.4243,31.2058
607,USA,-84.53435438,37.9800848
609,USA,-77.6692,37.4027
610,USA,-96.46798666,32.89177042
611,USA,-96.6102477,32.94439975
612,USA,-81.534538,35.279096
613,USA,-81.7698,26.2219
614,USA,-97.42822514,37.67880757
615,USA,-84.31837604,34.03773318
616,USA,-81.8021,38.4143
617,USA,-82.5209,35.5779
618,USA,-92.0219,30.2945
619,USA,-76.812212,34.737492
620,USA,-86.77527223,33.35940518
621,USA,-72.98323006,41.27792862
622,USA,-75.53638128,39.83267405
623,USA,-72.71858301,41.66319794
624,USA,-76.736013,39.287196
625,USA,-78.71972694,35.868809
626,USA,-80.386732,33.957887
627,USA,-77.9849,39.4467
628,USA,-76.98627194,39.82654816
629,USA,-86.90598336,36.13332195
630,USA,-87.47085371,37.99241503
631,USA,-76.6143,39.1939
632,USA,-76.733728,37.349887
633,USA,-81.63954063,41.13979063
634,USA,-86.57548401,39.17011466
635,USA,-86.11830757,39.86404993
636,USA,-84.95283,32.54081
637,USA,-84.0178857,36.00921418
638,USA,-83.99055288,35.76778355
639,USA,-81.710637,33.508772
640,USA,-84.0993,33.8261
641,USA,-73.65117844,43.33427867
642,USA,-81.504545,28.551025
643,USA,-89.98700796,38.59040087
644,USA,-76.84372044,40.82952849
645,USA,-77.63019194,43.07577388
646,USA,-79.038238,38.129816
647,USA,-78.313269,35.517799
649,USA,-84.85052985,35.20384061
650,USA,-72.84309803,41.67347996
651,USA,-95.14131722,29.54470331
652,USA,-75.838745,41.241495
653,USA,-80.0935,40.6858
654,USA,-80.20336,26.679
655,USA,-80.046403,32.811235
656,USA,-78.170508,39.157316
657,USA,-87.11670248,37.7221269
658,USA,-75.17120052,38.74712276
659,USA,-86.42411631,35.8434829
660,USA,-72.49156959,42.14454307
661,USA,-79.968378,32.748975
662,USA,-83.98720226,34.08700025
663,USA,-86.74602165,34.75486492
664,USA,-79.9723,37.2281
665,USA,-96.79213084,33.01035278
667,USA,-82.266165,34.940847
668,USA,-86.59438196,36.31551612
669,USA,-83.76961708,42.99963224
670,USA,-81.4234,28.4488
671,USA,-80.227523,40.184903
674,USA,-111.96367,33.32061
675,USA,-81.56539,38.31306
676,USA,-77.535668,37.530816
677,USA,-78.5591634,35.60878433
678,USA,-84.13319326,34.18341841
679,USA,-87.64020003,37.97821754
680,USA,-80.562584,35.011841
681,USA,-95.428358,29.811092
682,USA,-78.04473,33.95497
684,USA,-83.02680092,42.52263968
685,USA,-95.26036596,29.5563648
686,USA,-84.444445,33.471
687,USA,-77.6093,37.6532
688,USA,-116.27897,43.59139
689,USA,-97.76621796,30.20172638
690,USA,-88.89764561,30.45995903
691,USA,-76.44969,39.369146
692,USA,-74.43688664,40.55300794
693,USA,-83.57481387,35.87800471
694,USA,-94.18088074,36.33745474
695,USA,-82.45235738,43.03158382
696,USA,-80.67386833,28.07635309
697,USA,-80.6111,35.4262
698,USA,-85.79461636,33.61328957
700,USA,-81.232312,35.479288
701,USA,-81.20507006,36.14797483
702,USA,-76.8232,38.8935
703,USA,-80.2777,27.2511
704,USA,-80.2045,26.2746
705,USA,-85.83278282,38.15365208
706,USA,-77.61259983,39.92274846
707,USA,-79.898038,36.695616
708,USA,-82.44187876,40.02659203
709,USA,-76.437952,36.81787
710,USA,-84.166833,34.073559
711,USA,-82.98107209,40.13833249
712,USA,-88.52751893,30.37957879
713,USA,-83.30776535,42.61598757
714,USA,-111.72089,33.38764
715,USA,-77.0822,38.7725
716,USA,-84.365281,30.476707
717,USA,-83.393418,35.166286
718,USA,-82.50059444,36.54884939
719,USA,-76.519997,38.302556
720,USA,-76.638665,39.459089
721,USA,-94.76418943,38.87988456
722,USA,-88.32089951,36.62726751
724,USA,-82.67332,28.28025
725,USA,-80.3598,26.0302
726,USA,-77.951038,35.735816
727,USA,-86.24449664,35.39294622
728,USA,-82.678085,34.54922
729,USA,-87.06020539,35.59504427
730,USA,-84.760556,33.725859
731,USA,-90.60163898,38.66587809
732,USA,-97.113881,32.941705
733,USA,-93.31384757,37.2530474
734,USA,-83.68249274,42.23207589
735,USA,-75.13688555,40.22522657
736,USA,-85.40161058,32.62030906
737,USA,-82.40726804,36.34391241
738,USA,-78.439538,36.338746
739,USA,-79.005725,34.666956
740,USA,-82.66521847,27.79287138
741,USA,-81.026836,29.111423
742,USA,-81.107049,29.260583
746,USA,-81.71294,38.32939
748,USA,-90.29488508,38.80894191
749,USA,-85.2458018,35.13758669
750,USA,-95.25306015,30.0409923
751,USA,-75.04216259,39.7354706
753,USA,-90.69404604,38.79050616
754,USA,-80.1574,26.1673
755,USA,-83.09627304,40.10089194
756,USA,-106.5801555,35.17237848
757,USA,-75.29434669,40.10224701
758,USA,-117.596924,33.642941
759,USA,-117.213873,34.0617
760,USA,-84.45985281,39.28438601
761,USA,-83.62644866,43.01597311
763,USA,-72.5542,41.8085
764,USA,-90.4031342,38.56143798
765,USA,-85.65030957,42.29167792
766,USA,-81.52296769,40.76546185
767,USA,-78.884783,35.114435
768,USA,-83.41141596,42.33208011
769,USA,-117.788336,33.725203
770,USA,-81.73627418,41.42307693
771,USA,-82.737902,28.015913
772,USA,-82.46303,27.44456
773,USA,-118.0875,33.8302
774,USA,-117.55494,34.105718
775,USA,-117.14814,33.53231
777,USA,-84.67040217,42.7368065
778,USA,-97.67782944,30.485414
779,USA,-83.87672926,42.58302248
780,USA,-79.91044,40.41162
781,USA,-84.14032497,39.8772815
783,USA,-81.92519,27.99822
784,USA,-115.25853,36.18044
785,USA,-118.123779,33.81029
786,USA,-77.061159,35.564794
787,USA,-79.42325,36.59799
790,USA,-119.088966,35.382374
791,USA,-118.14476,34.59996
792,USA,-111.923091,33.636596
795,USA,-119.791442,36.845745
1001,USA,-117.348348,34.469784
1003,USA,-82.379138,28.115629
1004,USA,-78.98703218,33.6464864
1006,USA,-84.28587191,37.72833258
1008,USA,-82.96961225,42.62579904
1010,USA,-78.728758,41.122996
1013,USA,-117.1263,32.78252
1014,USA,-71.347752,41.938591
1016,USA,-83.76259,32.88092
1019,USA,-122.4205793,37.6410657
1022,USA,-75.95793839,43.97182877
1023,USA,-81.50748835,41.42206216
1024,USA,-119.765169,39.150358
1026,USA,-116.49236,33.81519
1030,USA,-117.916864,33.854811
1031,USA,-85.65451107,40.08217459
1032,USA,-111.891745,33.306967
1033,USA,-115.0328,36.063175
1034,USA,-74.60965283,39.43636567
1035,USA,-74.16678358,40.41428101
1037,USA,-77.457442,37.555044
1038,USA,-79.750138,34.920916
1040,USA,-80.834538,38.310436
1041,USA,-117.68246,34.10795
1042,USA,-112.2233157,33.46688328
1043,USA,-121.8307,38.0047
1045,USA,-83.60399686,41.05759935
1046,USA,-74.6349486,40.19860414
1047,USA,-75.4555611,40.12911783
1048,USA,-117.4521,33.9172
1050,USA,-117.603977,33.457311
1052,USA,-95.63757349,30.09185631
1053,USA,-95.15881573,29.64801001
1054,USA,-90.1635547,30.00220284
1055,USA,-90.446439,38.509515
1057,USA,-90.53027732,38.78878607
1058,USA,-95.52839212,29.78635579
1059,USA,-96.80247187,33.10648191
1060,USA,-80.936606,35.146677
1064,USA,-80.94142,33.96425
1065,USA,-76.213357,36.85824
1066,USA,-81.21149,34.00241
1067,USA,-93.27726847,38.71089352
1068,USA,-78.39928315,33.97534263
1069,USA,-80.201583,26.351552
1070,USA,-90.49686761,30.50251385
1071,USA,-84.44696778,39.03933006
1072,USA,-80.879338,36.692015
1073,USA,-87.063739,30.389063
1074,USA,-83.40103924,41.95429327
1075,USA,-79.757591,34.158473
1076,USA,-84.017089,33.640094
1077,USA,-92.24410519,38.5798736
1078,USA,-94.65197583,39.25051032
1079,USA,-81.72933,28.01197
1080,USA,-111.98582,41.188235
1081,USA,-122.507032,47.167141
1082,USA,-114.623764,32.670093
1083,USA,-91.76199727,37.96655995
1084,USA,-94.77541908,39.01198493
1085,USA,-90.05914239,29.89678832
1086,USA,-121.0664,37.7025
1087,USA,-121.15615,38.67141
1088,USA,-98.66610428,29.54703124
1089,USA,-122.224451,47.320387
1090,USA,-111.79019,33.3368
1091,USA,-83.08014224,40.58414469
1092,USA,-84.8186403,39.83074412
1093,USA,-87.66585775,34.72628322
1094,USA,-70.96798393,42.55932974
1095,USA,-78.48457364,35.79703
1096,USA,-93.22822826,36.61411517
1097,USA,-81.697379,35.717778
1098,USA,-94.35949771,39.03441399
1099,USA,-104.71858,38.87403
1105,USA,-85.16596719,41.14095054
1106,USA,-74.018705,40.806452
1107,USA,-91.85420538,29.98696479
1108,USA,-122.7532462,45.42887388
1109,USA,-80.22692,27.16172
1110,USA,-85.59301072,42.24288332
1111,USA,-80.07561031,26.51280693
1112,USA,-80.772383,35.065709
1113,USA,-80.25784862,26.16532178
1114,USA,-122.4249272,45.53010378
1115,USA,-86.26771438,34.29994559
1116,USA,-82.02586,33.40972
1117,USA,-112.239177,33.60862
1118,USA,-113.555598,37.100276
1119,USA,-84.3174,33.8855
1120,USA,-79.81996,34.18805
1121,USA,-85.77378063,42.87979463
1122,USA,-76.872667,38.956786
1123,USA,-82.68008564,38.50066026
1124,USA,-80.705267,35.127862
1125,USA,-77.426448,39.026519
1126,USA,-76.58186,36.750205
1127,USA,-76.36171344,40.0415239
1128,USA,-95.29948887,29.69779671
1130,USA,-80.399338,41.014816
1131,USA,-95.59131293,29.73508185
1132,USA,-122.0644,37.6008
1133,USA,-112.024919,40.683309
1134,USA,-97.75805075,35.48204701
1135,USA,-86.38250187,39.76056249
1136,USA,-76.889884,38.770033
1137,USA,-106.4386803,31.90081917
1138,USA,-77.894147,34.148449
1139,USA,-81.52512597,41.31135548
1140,USA,-81.2400596,28.65373711
1141,USA,-80.10288,36.10656
1142,USA,-87.2715,30.4345
1143,USA,-121.95853,38.37167
1144,USA,-118.334394,34.191182
1145,USA,-95.16564908,29.81272821
1146,USA,-106.3052097,31.72719607
1147,USA,-92.60126481,38.1560299
1148,USA,-121.402,38.4548
1149,USA,-75.03887948,39.86376566
1150,USA,-121.743732,37.694008
1151,USA,-93.9906079,29.94009703
1152,USA,-106.5725464,31.86219513
1153,USA,-84.1816,33.4303
1155,USA,-98.55487784,29.51176413
1156,USA,-82.82976931,42.67203531
1157,USA,-112.4227366,34.55446325
1158,USA,-106.7715163,32.34360072
1159,USA,-96.02938296,41.25758934
1160,USA,-84.29615339,39.06957724
1161,USA,-81.2075,28.5471
1162,USA,-118.6065,34.2204
1163,USA,-89.80076923,35.04739964
1164,USA,-81.098046,36.957455
1165,USA,-97.48148436,35.2247086
1166,USA,-88.41389809,33.52082411
1167,USA,-122.831545,47.048553
1168,USA,-86.35915546,39.61517767
1170,USA,-117.8169,34.1085
1174,USA,-71.04894926,42.09299325
1175,USA,-82.99463097,40.01086237
1176,USA,-87.01438514,34.56793868
1177,USA,-73.76326609,42.74486359
1180,USA,-94.41178178,38.92986227
1181,USA,-86.40148687,32.46240944
1184,USA,-96.20268502,41.23155069
1185,USA,-74.661759,40.3086574
1186,USA,-76.3943,37.0401
1187,USA,-89.78621324,35.20630441
1188,USA,-76.8612,39.087
1189,USA,-72.9979261,40.82632481
1190,USA,-82.73731,27.83987
1191,USA,-85.99146046,40.03259159
1192,USA,-73.9475,41.041719
1193,USA,-89.584534,40.68077454
1195,USA,-73.49350057,44.69406976
1196,USA,-84.6272397,35.44570406
1197,USA,-71.49752897,41.68270787
1198,USA,-71.12856188,42.50579987
1199,USA,-96.68631733,33.10219791
1200,USA,-80.1742,40.449
1201,USA,-121.797499,39.7156
1202,USA,-82.78031863,36.18012916
1203,USA,-88.94707195,40.48630935
1204,USA,-112.124444,33.60866168
1205,USA,-83.1933703,42.18650919
1206,USA,-71.77287911,42.29248468
1207,USA,-121.280209,38.788686
1209,USA,-89.58150646,36.86088857
1210,USA,-79.662362,36.378917
1211,USA,-82.90498407,39.97458453
1500,USA,-95.84126,36.29483937
1501,USA,-111.827437,41.758716
1502,USA,-75.89162295,42.16059712
1503,USA,-90.53982855,38.59100731
1504,USA,-98.64537133,29.4390984
1505,USA,-71.44422852,41.797
1506,USA,-80.7415,28.2966
1507,USA,-84.17415,33.93102
1508,USA,-83.545138,31.444416
1509,USA,-81.5211,35.9003
1510,USA,-118.536657,34.427105
1511,USA,-97.1469,32.5941
1512,USA,-74.70260053,40.88179895
1513,USA,-85.234738,34.273616
1514,USA,-85.61197507,43.04120672
1515,USA,-95.46227308,30.20964834
1516,USA,-85.8814775,39.21055984
1517,USA,-85.58523009,42.91050598
1518,USA,-85.67194526,38.10649293
1519,USA,-80.76545073,41.88034366
1520,USA,-96.14252616,41.28936194
1521,USA,-80.726838,32.427016
